validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,22459.727,1321739949.185,36355.742,0.16,8.33,8.33,50.0,8.31,15.33,15.33,8.31,22.36,15.33
0.2,18390.442,648833916.273,25472.219,0.18,8.33,8.33,66.67,8.39,6.8,4.13,8.39,5.22,2.09
0.30000000000000004,18466.812,637914256.766,25256.965,0.18,0.0,8.33,66.67,8.32,7.01,4.29,8.32,5.7,2.04
0.4,18353.821,656277265.567,25617.909,0.18,0.0,8.33,66.67,8.3,6.79,3.99,8.3,5.29,2.54
0.5,18441.189,630114674.849,25102.085,0.18,0.0,8.33,66.67,7.87,7.0,4.41,7.87,6.14,1.64
0.6,17851.074,608954379.571,24677.001,0.17,0.0,8.33,66.67,7.66,6.67,4.04,7.66,5.67,2.08
0.7,18719.466,649992645.358,25494.953,0.18,0.0,8.33,66.67,8.14,7.01,4.44,8.14,5.88,1.52
0.7999999999999999,17953.293,621520992.565,24930.323,0.17,0.0,16.67,66.67,7.45,6.75,3.97,7.45,6.05,2.51
0.8999999999999999,18120.446,640623407.761,25310.539,0.18,8.33,8.33,66.67,7.73,6.52,3.99,7.73,5.31,1.9
