validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,5451.428,43856002.017,6622.386,0.09,6.67,23.33,80.0,2.73,4.62,4.47,2.73,6.42,4.17
0.2,7022.031,198051628.063,14073.082,0.11,6.67,40.0,80.0,0.4,3.22,6.14,0.4,5.91,12.03
0.30000000000000004,6185.457,56658200.324,7527.164,0.1,3.33,23.33,60.0,5.49,6.9,5.47,5.49,8.25,2.58
0.4,4769.796,36127969.746,6010.655,0.08,10.0,36.67,90.0,1.7,2.91,2.93,1.7,4.06,2.96
0.5,6454.569,48718072.31,6979.833,0.1,3.33,6.67,56.67,3.51,5.8,6.23,3.51,7.97,7.09
0.6,4672.155,27719376.307,5264.919,0.08,3.33,26.67,86.67,1.07,3.37,3.71,1.07,5.56,4.4
0.7,9087.113,300349085.849,17330.582,0.15,10.0,20.0,80.0,0.82,7.69,8.99,0.82,14.22,11.62
0.7999999999999999,7435.762,171710215.207,13103.824,0.12,0.0,20.0,73.33,1.2,4.13,7.33,1.2,6.91,13.78
0.8999999999999999,9232.105,299780505.959,17314.171,0.15,3.33,16.67,66.67,11.22,13.6,10.3,11.22,15.87,3.64
