validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,2349.2,13212544.024,3634.906,0.12,2.22,11.11,68.89,1.58,6.37,7.0,1.58,10.9,8.23
0.2,2016.408,6148966.379,2479.711,0.1,2.22,12.22,70.0,1.58,3.97,5.3,1.58,6.24,7.89
0.30000000000000004,2244.594,10813150.631,3288.336,0.11,1.11,7.78,68.89,1.64,5.86,6.56,1.64,9.85,7.94
0.4,2078.191,8294394.488,2879.999,0.11,0.0,15.56,74.44,1.52,4.12,6.28,1.52,6.58,10.45
0.5,2147.044,10956445.842,3310.052,0.11,2.22,15.56,75.56,4.6,5.46,6.05,4.6,6.27,7.2
0.6,1926.024,5530565.418,2351.715,0.1,4.44,20.0,75.56,1.82,4.35,5.27,1.82,6.75,7.04
0.7,1896.155,5509306.202,2347.191,0.1,1.11,14.44,75.56,0.93,3.69,4.84,0.93,6.3,7.07
0.7999999999999999,2349.943,13222452.425,3636.269,0.12,2.22,15.56,62.22,1.3,5.16,7.38,1.3,8.82,11.68
0.8999999999999999,2784.711,22153727.514,4706.775,0.14,2.22,8.89,63.33,8.77,9.67,9.36,8.77,10.53,8.76
