validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,2272.858,12393762.391,3520.478,0.11,1.11,11.11,72.22,0.82,5.62,6.4,0.82,10.17,7.93
0.2,2152.57,6619423.208,2572.824,0.11,2.22,7.78,63.33,2.6,4.79,6.1,2.6,6.86,8.64
0.30000000000000004,2254.984,10732805.979,3276.096,0.11,1.11,10.0,70.0,2.21,6.11,6.74,2.21,9.81,7.96
0.4,2321.997,10117451.905,3180.794,0.12,1.11,11.11,61.11,4.93,6.09,7.66,4.93,7.19,10.71
0.5,2073.29,7327769.808,2706.985,0.11,1.11,6.67,73.33,3.4,4.9,5.69,3.4,6.33,7.21
0.6,2055.595,6003654.534,2450.236,0.1,1.11,12.22,64.44,2.48,4.94,6.02,2.48,7.28,8.1
0.7,1963.316,5639529.005,2374.769,0.1,0.0,7.78,71.11,1.46,4.15,5.27,1.46,6.71,7.43
0.7999999999999999,2234.016,8367601.492,2892.681,0.11,1.11,12.22,65.56,1.86,5.4,6.71,1.86,8.76,9.24
0.8999999999999999,2736.757,21991389.041,4689.498,0.14,1.11,8.89,63.33,8.57,9.26,8.97,8.57,9.92,8.4
