valid,mae,mse,rmse,mape,accur 2%,accur 5%,accur 10%,Erro %. acum 3d,Erro %. acum 60d,Erro %. acum 90d,Erro %. acum 1ºm,Erro %. acum 2ºm,Erro %. acum 3ºm
2,4799.794,36417007.476,6034.651,0.08,3.33,26.67,93.33,1.58,3.51,3.28,1.58,5.35,2.8
3,5006.463,38173436.767,6178.466,0.08,3.33,26.67,83.33,1.53,3.86,3.75,1.53,6.07,3.53
4,5049.899,37644455.928,6135.508,0.08,3.33,26.67,86.67,2.18,4.41,3.92,2.18,6.54,2.93
5,5249.989,40226950.983,6342.472,0.09,3.33,20.0,86.67,1.61,3.93,3.84,1.61,6.14,3.65
6,5047.386,39142773.317,6256.419,0.08,3.33,30.0,86.67,0.97,3.76,3.58,0.97,6.41,3.21
7,4963.255,37126203.301,6093.128,0.08,0.0,23.33,86.67,1.58,3.53,3.38,1.58,5.37,3.08
8,5142.455,41063540.316,6408.084,0.09,6.67,23.33,83.33,1.09,3.62,3.44,1.09,6.03,3.08
9,5025.329,37456312.805,6120.156,0.08,3.33,20.0,86.67,1.84,3.96,3.74,1.84,5.97,3.3
split,5148.328,38573661.286,6210.77,0.09,3.33,13.33,86.67,1.27,3.48,3.46,1.27,5.59,3.42
