validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,2139.987,11800240.318,3435.148,0.11,1.11,18.89,77.78,0.14,5.05,5.61,0.14,9.7,6.69
0.2,2001.523,5747640.81,2397.424,0.1,1.11,6.67,68.89,1.38,4.09,5.3,1.38,6.67,7.66
0.30000000000000004,2230.793,10972250.432,3312.439,0.11,1.11,12.22,65.56,1.06,5.57,6.36,1.06,9.84,7.88
0.4,2291.597,10164825.464,3188.232,0.12,2.22,12.22,64.44,3.76,5.34,7.33,3.76,6.84,11.2
0.5,2172.21,10903645.192,3302.067,0.11,3.33,8.89,75.56,4.58,5.43,6.11,4.58,6.22,7.44
0.6,1954.67,5648208.811,2376.596,0.1,3.33,13.33,74.44,1.73,4.23,5.43,1.73,6.59,7.76
0.7,1975.023,5675999.905,2382.436,0.1,2.22,7.78,70.0,1.5,4.21,5.43,1.5,6.79,7.8
0.7999999999999999,2234.381,8706915.287,2950.748,0.11,2.22,7.78,67.78,1.59,5.15,6.66,1.59,8.53,9.6
0.8999999999999999,2832.325,22396186.651,4732.461,0.14,1.11,5.56,58.89,8.46,9.56,9.33,8.46,10.61,8.87
