validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,9365.633,335869538.902,18326.744,0.15,6.67,26.67,63.33,13.66,13.95,10.28,13.66,14.23,2.88
0.2,6907.928,67163863.632,8195.356,0.11,10.0,16.67,46.67,6.99,7.83,7.37,6.99,8.63,6.44
0.30000000000000004,8273.79,197919992.316,14068.404,0.13,6.67,20.0,60.0,7.51,12.25,10.22,7.51,16.76,6.14
0.4,11642.614,344736656.15,18567.085,0.19,13.33,23.33,36.67,12.1,19.22,16.04,12.1,26.0,9.62
0.5,6007.33,50491301.552,7105.723,0.1,13.33,23.33,63.33,3.41,5.67,5.59,3.41,7.82,5.43
0.6,6768.974,59640920.062,7722.753,0.11,3.33,20.0,53.33,5.45,6.74,6.83,5.45,7.98,7.01
0.7,10577.795,230168982.524,15171.321,0.17,6.67,6.67,23.33,9.24,10.51,13.37,9.24,11.72,19.13
0.7999999999999999,11651.866,350020246.031,18708.828,0.19,3.33,10.0,30.0,8.99,12.94,14.21,8.99,16.7,16.78
0.8999999999999999,8870.486,215391180.105,14676.211,0.14,6.67,23.33,60.0,12.75,10.91,8.97,12.75,9.16,5.05
