validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,1836.304,5445587.904,2333.578,0.1,1.11,20.0,84.44,0.64,3.06,4.22,0.64,5.35,6.46
0.2,2041.328,6027306.449,2455.057,0.1,2.22,6.67,67.78,1.88,4.24,5.59,1.88,6.48,8.2
0.30000000000000004,2317.544,11136565.628,3337.149,0.12,1.11,6.67,65.56,2.11,6.27,7.05,2.11,10.21,8.56
0.4,1941.699,5563840.759,2358.78,0.1,1.11,11.11,76.67,1.72,3.86,5.3,1.72,5.88,8.09
0.5,2362.808,16184215.022,4022.961,0.12,0.0,8.89,75.56,7.86,6.91,6.97,7.86,6.01,7.1
0.6,1923.624,5628378.144,2372.42,0.1,3.33,15.56,73.33,1.83,4.14,5.27,1.83,6.34,7.44
0.7,2185.284,11032986.372,3321.594,0.11,0.0,13.33,72.22,1.52,5.7,6.46,1.52,9.67,7.92
0.7999999999999999,2401.521,12462034.599,3530.161,0.12,3.33,7.78,62.22,2.07,5.19,7.47,2.07,8.15,11.87
0.8999999999999999,2819.874,22208073.921,4712.544,0.14,1.11,6.67,58.89,8.86,9.61,9.29,8.86,10.32,8.68
