validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,10167.201,262821232.438,16211.762,0.19,10.0,26.67,56.67,4.26,7.01,7.65,4.26,9.8,8.97
MLP_seq,9959.466,266494912.07,16324.672,0.2,10.0,26.67,60.0,2.52,5.72,6.52,2.52,8.96,8.15
MLP_seq,10592.363,298841387.097,17287.029,0.22,6.67,33.33,46.67,6.31,8.85,8.75,6.31,11.45,8.55
MLP_seq,10820.012,310021396.682,17607.424,0.23,6.67,30.0,50.0,6.19,8.95,8.63,6.19,11.75,7.95
MLP_seq,10427.244,292562413.58,17104.456,0.22,10.0,20.0,53.33,3.93,7.1,7.06,3.93,10.3,6.97
MLP_seq,10828.021,314319575.842,17729.06,0.23,13.33,23.33,53.33,6.02,9.0,9.04,6.02,12.0,9.13
MLP_seq,9394.971,252439406.635,15888.342,0.19,13.33,30.0,60.0,3.09,6.18,6.08,3.09,9.3,5.87
MLP_seq,9685.352,240698746.617,15514.469,0.18,6.67,26.67,50.0,0.39,4.31,4.69,0.39,8.22,5.49
MLP_seq,10307.576,274661706.776,16572.921,0.19,10.0,33.33,40.0,6.11,8.78,9.35,6.11,11.49,10.54
MLP_seq,10584.878,293712443.162,17138.041,0.2,13.33,23.33,43.33,7.33,9.67,9.86,7.33,12.07,10.24
MLP_seq,10433.187,284563581.112,16869.012,0.21,13.33,20.0,46.67,4.12,7.0,7.51,4.12,9.93,8.55
MLP_seq,10504.404,293567986.209,17133.826,0.21,10.0,23.33,56.67,5.19,7.56,7.93,5.19,9.99,8.69
MLP_seq,10811.269,306220929.446,17499.169,0.23,10.0,20.0,50.0,6.15,8.68,8.63,6.15,11.27,8.51
MLP_seq,10550.537,297684691.065,17253.541,0.22,3.33,23.33,60.0,4.8,7.46,7.47,4.8,10.17,7.49
MLP_seq,10437.069,295029726.9,17176.429,0.22,16.67,30.0,53.33,4.39,7.31,7.84,4.39,10.27,8.95
MLP_seq,10291.621,292597913.859,17105.494,0.22,16.67,33.33,50.0,4.19,7.45,7.78,4.19,10.75,8.44
MLP_seq,10432.932,297194782.567,17239.338,0.22,13.33,30.0,46.67,6.31,9.09,8.96,6.31,11.91,8.7
MLP_seq,10583.868,298194337.159,17268.304,0.24,6.67,23.33,56.67,4.3,6.57,6.71,4.3,8.9,7.01
MLP_seq,10848.627,308044515.919,17551.197,0.23,10.0,30.0,46.67,5.53,8.62,8.65,5.53,11.75,8.72
MLP_seq,10545.095,294900937.976,17172.68,0.23,16.67,23.33,56.67,3.73,6.36,7.01,3.73,9.04,8.35
MLP_seq,10525.911,302431222.161,17390.55,0.23,16.67,30.0,50.0,6.63,8.85,8.31,6.63,11.14,7.16
MLP_seq,10257.471,270655935.752,16451.624,0.21,3.33,16.67,60.0,5.13,8.37,7.89,5.13,11.62,6.88
MLP_seq,8804.559,232817088.95,15258.345,0.15,10.0,33.33,60.0,3.2,7.3,8.19,3.2,11.36,10.0
MLP_seq,9239.713,229389739.121,15145.618,0.15,10.0,33.33,56.67,2.98,5.78,8.28,2.98,8.63,13.11
MLP_seq,9311.749,230857120.271,15193.983,0.15,6.67,33.33,46.67,4.75,7.04,8.97,4.75,9.4,12.75
