Data,Hora,kWh fornecido
11/10/2023,22,876.96
11/10/2023,23,876.6
11/10/2023,24,876.6
12/10/2023,1,876.6
12/10/2023,2,875.88
12/10/2023,3,876.24
12/10/2023,4,876.6
12/10/2023,5,876.24
12/10/2023,6,876.24
12/10/2023,7,876.6
12/10/2023,8,876.24
12/10/2023,9,874.8
12/10/2023,10,874.08
12/10/2023,11,873.72
12/10/2023,12,874.44
12/10/2023,13,874.8
12/10/2023,14,875.16
12/10/2023,15,875.16
12/10/2023,16,874.8
12/10/2023,17,874.44
12/10/2023,18,875.88
12/10/2023,19,877.32
12/10/2023,20,876.24
12/10/2023,21,875.88
12/10/2023,22,876.24
12/10/2023,23,876.24
12/10/2023,24,876.96
13/10/2023,1,876.96
13/10/2023,2,876.24
13/10/2023,3,876.24
13/10/2023,4,876.6
13/10/2023,5,877.32
13/10/2023,6,876.96
13/10/2023,7,877.32
13/10/2023,8,875.88
13/10/2023,9,874.8
13/10/2023,10,874.8
13/10/2023,11,875.16
13/10/2023,12,874.8
13/10/2023,13,875.16
13/10/2023,14,875.52
13/10/2023,15,874.8
13/10/2023,16,874.8
13/10/2023,17,874.8
13/10/2023,18,875.88
13/10/2023,19,876.24
13/10/2023,20,876.96
13/10/2023,21,876.6
13/10/2023,22,874.44
13/10/2023,23,876.24
13/10/2023,24,876.24
14/10/2023,1,876.6
14/10/2023,2,875.88
14/10/2023,3,876.24
14/10/2023,4,876.24
14/10/2023,5,876.6
14/10/2023,6,877.32
14/10/2023,7,876.96
14/10/2023,8,875.52
14/10/2023,9,873.72
14/10/2023,10,874.8
14/10/2023,11,874.8
14/10/2023,12,874.8
14/10/2023,13,874.8
14/10/2023,14,874.44
14/10/2023,15,875.16
14/10/2023,16,874.08
14/10/2023,17,874.44
14/10/2023,18,875.52
14/10/2023,19,875.52
14/10/2023,20,875.88
14/10/2023,21,875.88
14/10/2023,22,875.88
14/10/2023,23,875.52
14/10/2023,24,875.52
15/10/2023,1,876.24
15/10/2023,2,875.88
15/10/2023,3,875.52
15/10/2023,4,875.88
15/10/2023,5,875.16
15/10/2023,6,876.24
15/10/2023,7,875.88
15/10/2023,8,874.8
15/10/2023,9,874.44
15/10/2023,10,873.72
15/10/2023,11,871.56
15/10/2023,12,872.28
15/10/2023,13,872.64
15/10/2023,14,873.36
15/10/2023,15,872.64
15/10/2023,16,873
15/10/2023,17,871.92
15/10/2023,18,874.44
15/10/2023,19,874.08
15/10/2023,20,874.8
15/10/2023,21,874.44
15/10/2023,22,874.44
15/10/2023,23,874.08
15/10/2023,24,874.08
16/10/2023,1,873.36
16/10/2023,2,874.8
16/10/2023,3,873.72
16/10/2023,4,873.72
16/10/2023,5,873
16/10/2023,6,873.36
16/10/2023,7,874.08
16/10/2023,8,872.64
16/10/2023,9,874.08
16/10/2023,10,873.36
16/10/2023,11,873.36
16/10/2023,12,873.36
16/10/2023,13,873.36
16/10/2023,14,873
16/10/2023,15,872.64
