validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,2063.423,7825106.631,2797.339,0.11,0.0,18.89,71.11,2.94,4.84,5.8,2.94,6.64,7.66
0.2,1853.231,5322616.103,2307.08,0.1,2.22,16.67,78.89,1.22,3.51,4.73,1.22,5.68,7.11
0.30000000000000004,2221.056,15879671.678,3984.931,0.11,1.11,18.89,85.56,0.61,4.44,6.06,0.61,8.07,9.19
0.4,1913.694,5542301.474,2354.209,0.1,1.11,13.33,80.0,1.69,3.76,4.86,1.69,5.73,6.99
0.5,2299.622,14794845.279,3846.407,0.12,3.33,13.33,78.89,7.33,6.59,6.6,7.33,5.9,6.61
0.6,1809.918,5369245.577,2317.163,0.09,5.56,22.22,82.22,1.56,3.75,4.72,1.56,5.83,6.59
0.7,2212.955,11584648.837,3403.623,0.11,5.56,16.67,70.0,1.83,5.85,6.9,1.83,9.67,8.91
0.7999999999999999,2207.958,10208690.749,3195.104,0.11,3.33,13.33,74.44,2.12,5.11,6.45,2.12,7.94,9.04
0.8999999999999999,2739.74,23725472.759,4870.88,0.14,0.0,11.11,74.44,8.22,8.63,8.73,8.22,9.02,8.94
