validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,1918.842,5607184.164,2367.949,0.1,1.11,14.44,74.44,1.01,3.59,4.85,1.01,6.04,7.28
0.2,2022.647,5943290.899,2437.887,0.1,1.11,7.78,67.78,1.66,4.11,5.48,1.66,6.44,8.14
0.30000000000000004,2275.967,10860158.133,3295.475,0.12,1.11,6.67,67.78,2.12,6.14,6.82,2.12,9.96,8.14
0.4,1984.084,5582309.848,2362.691,0.1,1.11,7.78,71.11,1.85,4.27,5.49,1.85,6.57,7.85
0.5,1824.954,5198133.084,2279.941,0.09,2.22,18.89,87.78,0.44,3.0,4.17,0.44,5.43,6.42
0.6,1982.58,5803369.321,2409.018,0.1,4.44,13.33,66.67,2.37,4.71,5.72,2.37,6.93,7.66
0.7,2182.029,11103565.249,3332.201,0.11,3.33,8.89,66.67,1.53,5.63,6.41,1.53,9.52,7.94
0.7999999999999999,2286.835,9176360.515,3029.251,0.11,1.11,11.11,63.33,2.41,5.38,6.97,2.41,8.19,10.07
0.8999999999999999,2724.493,21921679.25,4682.059,0.14,0.0,10.0,63.33,8.56,9.21,8.88,8.56,9.83,8.22
