Data,Hora,Ativa C (kWh)
15/08/2024,1,"951,84"
15/08/2024,2,"951,84"
15/08/2024,3,"951,84"
15/08/2024,4,"952,2"
15/08/2024,5,"951,48"
15/08/2024,6,"950,76"
15/08/2024,7,"951,12"
15/08/2024,8,"950,76"
15/08/2024,9,"951,12"
15/08/2024,10,"950,4"
15/08/2024,11,"950,76"
15/08/2024,12,"951,12"
15/08/2024,13,"950,76"
15/08/2024,14,"948,96"
15/08/2024,15,"949,32"
15/08/2024,16,"950,04"
15/08/2024,17,"950,76"
15/08/2024,18,"950,76"
15/08/2024,19,"951,84"
15/08/2024,20,"953,28"
15/08/2024,21,"951,48"
15/08/2024,22,"951,48"
15/08/2024,23,"950,4"
15/08/2024,24,"951,48"
16/08/2024,1,"951,48"
16/08/2024,2,"952,2"
16/08/2024,3,"951,12"
16/08/2024,4,"950,76"
16/08/2024,5,"950,4"
16/08/2024,6,"950,76"
16/08/2024,7,"950,76"
16/08/2024,8,"950,76"
16/08/2024,9,"951,48"
16/08/2024,10,"950,4"
16/08/2024,11,"950,04"
16/08/2024,12,"950,4"
16/08/2024,13,"950,04"
16/08/2024,14,"950,04"
16/08/2024,15,"950,4"
16/08/2024,16,"950,4"
16/08/2024,17,"951,12"
16/08/2024,18,"950,04"
16/08/2024,19,"950,4"
16/08/2024,20,"951,12"
16/08/2024,21,"950,76"
16/08/2024,22,"951,12"
16/08/2024,23,"950,76"
16/08/2024,24,"950,76"
17/08/2024,1,"951,48"
17/08/2024,2,"950,76"
17/08/2024,3,"950,76"
17/08/2024,4,"950,4"
17/08/2024,5,"950,04"
17/08/2024,6,"950,4"
17/08/2024,7,"950,76"
17/08/2024,8,"951,12"
17/08/2024,9,"951,12"
17/08/2024,10,"950,04"
17/08/2024,11,"950,76"
17/08/2024,12,"950,4"
17/08/2024,13,"949,68"
17/08/2024,14,"950,4"
17/08/2024,15,"950,04"
17/08/2024,16,"949,32"
17/08/2024,17,"949,68"
17/08/2024,18,"950,04"
17/08/2024,19,"951,48"
17/08/2024,20,"951,12"
17/08/2024,21,"950,76"
17/08/2024,22,"950,76"
17/08/2024,23,"950,04"
17/08/2024,24,"951,48"
18/08/2024,1,"950,4"
18/08/2024,2,"950,04"
18/08/2024,3,"950,76"
18/08/2024,4,"950,76"
18/08/2024,5,"950,76"
18/08/2024,6,"950,76"
18/08/2024,7,"950,76"
18/08/2024,8,"951,84"
18/08/2024,9,"951,48"
18/08/2024,10,"951,12"
18/08/2024,11,"950,04"
18/08/2024,12,"951,12"
18/08/2024,13,"950,76"
18/08/2024,14,"951,48"
18/08/2024,15,"951,12"
18/08/2024,16,"949,32"
18/08/2024,17,"949,68"
18/08/2024,18,"951,48"
18/08/2024,19,"951,48"
18/08/2024,20,"950,4"
18/08/2024,21,"941,04"
18/08/2024,22,"941,04"
18/08/2024,23,"941,4"
18/08/2024,24,"939,96"
19/08/2024,1,"939,6"
19/08/2024,2,"939,96"
19/08/2024,3,"938,88"
19/08/2024,4,"938,52"
19/08/2024,5,"938,52"
19/08/2024,6,"938,52"
19/08/2024,7,"939,96"
19/08/2024,8,"938,88"
19/08/2024,9,"938,52"
19/08/2024,10,"939,6"
19/08/2024,11,"938,88"
19/08/2024,12,"940,32"
19/08/2024,13,"938,88"
19/08/2024,14,"938,16"
19/08/2024,15,"938,52"
19/08/2024,16,"938,88"
19/08/2024,17,"939,6"
19/08/2024,18,"939,96"
19/08/2024,19,"940,32"
19/08/2024,20,"939,24"
19/08/2024,21,"939,24"
19/08/2024,22,"938,52"
19/08/2024,23,"939,24"
19/08/2024,24,"939,24"
20/08/2024,1,"940,68"
20/08/2024,2,"939,24"
20/08/2024,3,"937,44"
20/08/2024,4,"937,08"
20/08/2024,5,"936,72"
20/08/2024,6,"937,44"
20/08/2024,7,"938,16"
20/08/2024,8,"937,44"
20/08/2024,9,"937,08"
20/08/2024,10,"937,44"
20/08/2024,11,"937,8"
20/08/2024,12,"937,44"
20/08/2024,13,"937,08"
20/08/2024,14,"936,72"
20/08/2024,15,"937,08"
20/08/2024,16,"937,44"
