validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,1894.845,5801558.298,2408.642,0.1,1.11,22.22,80.0,1.18,3.51,4.6,1.18,5.72,6.72
0.2,1990.837,5807511.125,2409.878,0.1,2.22,5.56,70.0,1.57,3.94,5.28,1.57,6.19,7.86
0.30000000000000004,2299.122,11252908.675,3354.536,0.12,2.22,6.67,67.78,1.88,6.05,6.82,1.88,10.0,8.33
0.4,1943.543,5480399.432,2341.025,0.1,0.0,10.0,77.78,1.48,3.89,5.05,1.48,6.18,7.31
0.5,2353.42,16128733.668,4016.059,0.12,2.22,14.44,75.56,7.71,6.86,6.9,7.71,6.05,6.98
0.6,1975.41,5720527.1,2391.762,0.1,4.44,14.44,71.11,2.28,4.61,5.55,2.28,6.81,7.36
0.7,2189.546,11044312.645,3323.298,0.11,0.0,14.44,72.22,1.81,5.86,6.44,1.81,9.7,7.57
0.7999999999999999,2209.248,8483123.859,2912.58,0.11,1.11,10.0,68.89,2.17,5.44,6.5,2.17,8.55,8.56
0.8999999999999999,2814.623,22204751.833,4712.192,0.14,0.0,5.56,60.0,8.8,9.56,9.14,8.8,10.28,8.33
