validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,16542.431,645163433.395,25400.068,0.17,0.0,16.67,83.33,6.54,6.72,2.22,6.54,6.9,8.24
0.2,16403.199,635749855.28,25214.08,0.17,0.0,16.67,83.33,6.4,6.54,2.18,6.4,6.68,7.98
0.30000000000000004,16880.127,643030354.105,25358.043,0.17,0.0,16.67,83.33,6.86,7.01,2.55,6.86,7.17,7.84
0.4,16296.132,630069506.136,25101.185,0.17,0.0,16.67,83.33,6.34,6.48,2.16,6.34,6.62,7.89
0.5,16775.69,649042831.643,25476.319,0.17,0.0,16.67,75.0,7.19,6.98,2.42,7.19,6.77,8.21
0.6,16388.981,633358367.789,25166.612,0.17,0.0,16.67,83.33,6.58,6.63,2.21,6.58,6.69,8.08
0.7,16270.573,632461887.22,25148.795,0.17,0.0,16.67,83.33,6.37,6.48,2.1,6.37,6.58,8.08
0.7999999999999999,16539.981,637601899.644,25250.78,0.17,0.0,16.67,83.33,6.66,6.77,2.29,6.66,6.88,8.12
0.8999999999999999,16453.295,631044354.58,25120.596,0.17,0.0,16.67,83.33,6.6,6.68,2.28,6.6,6.76,7.95
