validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,7302.783,201763630.951,14204.353,0.12,20.0,46.67,63.33,2.52,5.63,7.19,2.52,8.78,10.28
MLP_seq,7149.918,195464172.859,13980.85,0.12,20.0,46.67,76.67,4.07,7.28,8.79,4.07,10.51,11.8
MLP_seq,7566.728,197927377.15,14068.667,0.13,13.33,36.67,76.67,5.41,8.03,9.23,5.41,10.71,11.64
MLP_seq,8652.177,230073516.849,15168.174,0.14,13.33,36.67,63.33,7.26,9.15,11.09,7.26,11.1,14.91
MLP_seq,8757.916,235631156.131,15350.282,0.14,20.0,36.67,70.0,7.33,9.64,11.99,7.33,12.01,16.55
MLP_seq,9151.053,220231627.807,14840.203,0.15,10.0,23.33,50.0,7.24,10.87,11.97,7.24,14.49,14.18
MLP_seq,8045.027,199229868.551,14114.881,0.13,6.67,26.67,70.0,3.86,7.07,8.42,3.86,10.3,11.14
MLP_seq,7753.964,216772235.338,14723.187,0.13,20.0,50.0,73.33,6.31,9.39,11.12,6.31,12.5,14.56
MLP_seq,8138.202,220455848.487,14847.756,0.13,6.67,33.33,76.67,4.3,8.29,10.17,4.3,12.24,13.88
MLP_seq,8645.393,247359953.978,15727.681,0.14,16.67,40.0,66.67,5.9,8.78,11.24,5.9,11.7,15.98
MLP_seq,8001.267,222726400.681,14924.021,0.13,23.33,36.67,66.67,5.79,8.97,10.92,5.79,12.18,14.75
MLP_seq,9142.206,246529937.592,15701.272,0.14,10.0,33.33,60.0,8.06,10.83,12.52,8.06,13.63,15.86
MLP_seq,8099.89,203621384.317,14269.597,0.13,13.33,40.0,63.33,4.02,8.12,9.91,4.02,12.18,13.44
MLP_seq,7758.361,197896435.208,14067.567,0.13,16.67,36.67,66.67,3.91,6.95,8.31,3.91,10.03,11.04
MLP_seq,7242.441,200821944.787,14171.166,0.12,26.67,40.0,63.33,0.74,4.24,6.11,0.74,7.76,9.8
MLP_seq,7398.344,203283468.991,14257.751,0.12,16.67,50.0,66.67,3.03,5.94,7.44,3.03,8.9,10.41
MLP_seq,7088.435,193384217.494,13906.265,0.12,23.33,50.0,70.0,2.93,5.94,7.23,2.93,8.98,9.82
MLP_seq,7960.436,211319031.949,14536.816,0.13,16.67,33.33,66.67,5.77,8.47,9.38,5.77,11.22,11.25
MLP_seq,8425.139,224443173.656,14981.428,0.14,20.0,40.0,63.33,6.92,9.8,11.09,6.92,12.72,13.68
MLP_seq,8597.707,235882780.382,15358.476,0.14,13.33,36.67,66.67,5.72,9.48,11.79,5.72,13.23,16.26
MLP_seq,8001.715,223668536.236,14955.552,0.13,16.67,40.0,70.0,5.79,9.38,11.07,5.79,12.97,14.42
MLP_seq,7694.295,199138017.33,14111.627,0.13,20.0,33.33,73.33,3.77,7.21,9.24,3.77,10.66,13.21
MLP_seq,7823.129,207597365.733,14408.24,0.13,6.67,36.67,76.67,4.26,7.08,8.82,4.26,9.95,12.27
MLP_seq,7597.943,199778363.356,14134.297,0.13,16.67,40.0,70.0,1.59,4.7,7.36,1.59,7.85,12.49
MLP_seq,7717.551,217213988.428,14738.181,0.12,26.67,36.67,70.0,5.49,8.6,10.4,5.49,11.75,13.94
MLP_seq,8001.049,225461584.494,15015.378,0.13,20.0,43.33,63.33,6.32,9.73,11.32,6.32,13.16,14.46
MLP_seq,7613.207,190048772.244,13785.818,0.13,13.33,46.67,56.67,1.58,4.27,6.13,1.58,7.01,9.81
MLP_seq,8015.058,209618944.817,14478.223,0.13,26.67,36.67,56.67,4.86,7.09,9.66,4.86,9.38,14.6
MLP_seq,7673.421,201851798.735,14207.456,0.13,16.67,43.33,66.67,3.35,6.03,7.6,3.35,8.77,10.73
MLP_seq,7289.509,197227488.681,14043.77,0.12,23.33,43.33,66.67,0.62,3.77,5.4,0.62,6.96,8.63
MLP_seq,7266.345,190927750.775,13817.661,0.12,20.0,40.0,66.67,1.15,3.82,5.59,1.15,6.54,9.1
MLP_seq,7441.345,201140987.944,14182.418,0.12,16.67,43.33,73.33,4.99,7.9,9.16,4.99,10.86,11.69
MLP_seq,7890.696,206331439.287,14364.242,0.13,20.0,36.67,63.33,6.38,9.0,10.28,6.38,11.67,12.86
MLP_seq,8526.926,224961021.472,14998.701,0.14,6.67,36.67,63.33,7.07,9.91,11.22,7.07,12.79,13.86
MLP_seq,8679.567,243988936.869,15620.145,0.14,13.33,30.0,73.33,6.96,10.8,12.19,6.96,14.62,14.97
MLP_seq,7796.849,216396009.012,14710.405,0.13,23.33,43.33,60.0,3.9,7.62,9.56,3.9,11.33,13.36
MLP_seq,7801.203,205007368.373,14318.078,0.13,13.33,43.33,73.33,4.02,6.91,8.9,4.02,9.84,12.82
MLP_seq,7802.917,206350879.126,14364.918,0.13,20.0,40.0,66.67,3.72,7.0,8.66,3.72,10.31,11.96
MLP_seq,7874.009,204289115.249,14292.974,0.13,13.33,33.33,73.33,4.11,7.38,9.32,4.11,10.68,13.14
MLP_seq,8023.239,215398922.083,14676.475,0.13,20.0,40.0,63.33,3.62,7.31,8.75,3.62,11.0,11.61
MLP_seq,7845.252,215539110.788,14681.25,0.13,23.33,36.67,66.67,5.66,8.69,10.38,5.66,11.75,13.71
MLP_seq,8622.093,229603875.496,15152.685,0.14,10.0,26.67,66.67,7.4,10.1,11.81,7.4,12.86,15.19
MLP_seq,7502.952,212392680.761,14573.698,0.12,16.67,53.33,76.67,2.91,7.32,9.86,2.91,11.67,14.75
MLP_seq,7400.402,193392150.66,13906.551,0.12,10.0,40.0,73.33,2.21,5.56,7.14,2.21,8.94,10.27
MLP_seq,7422.398,196559754.158,14019.977,0.13,30.0,40.0,60.0,0.77,3.9,5.51,0.77,7.07,8.72
MLP_seq,7267.955,196880810.874,14031.422,0.12,20.0,36.67,70.0,0.57,3.96,5.4,0.57,7.37,8.27
MLP_seq,7220.034,192929796.233,13889.917,0.12,20.0,43.33,63.33,1.41,4.39,6.0,1.41,7.41,9.19
MLP_seq,8107.362,216883529.743,14726.966,0.13,13.33,33.33,70.0,6.68,9.42,10.52,6.68,12.2,12.75
MLP_seq,8073.704,206101743.813,14356.244,0.13,10.0,36.67,66.67,5.14,7.84,9.53,5.14,10.59,12.88
MLP_seq,8336.271,221472322.416,14881.946,0.14,20.0,36.67,63.33,5.68,8.16,10.22,5.68,10.7,14.25
MLP_seq,9588.775,258597487.301,16080.967,0.15,13.33,36.67,46.67,7.68,10.04,12.67,7.68,12.46,17.71
MLP_seq,9051.669,218985742.659,14798.167,0.15,6.67,26.67,50.0,7.11,9.82,11.08,7.11,12.57,13.61
MLP_seq,7789.093,211518871.548,14543.688,0.13,23.33,40.0,66.67,4.15,6.51,8.42,4.15,8.92,12.18
MLP_seq,8701.699,238817513.904,15453.722,0.14,16.67,40.0,56.67,4.06,7.36,9.96,4.06,10.69,14.94
MLP_seq,7994.092,206315254.319,14363.678,0.13,13.33,30.0,63.33,2.71,4.8,6.68,2.71,6.97,10.39
MLP_seq,8301.314,227618446.872,15087.029,0.13,13.33,43.33,66.67,6.44,9.84,11.75,6.44,13.24,15.51
