validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,6336.593,55802960.909,7470.138,0.1,6.67,26.67,56.67,5.48,6.84,6.73,5.48,8.13,6.52
0.2,5203.356,41287615.67,6425.544,0.09,10.0,33.33,76.67,2.51,4.12,4.41,2.51,5.65,4.99
0.30000000000000004,9747.881,339501717.823,18425.572,0.15,6.67,20.0,63.33,13.47,14.21,11.16,13.47,14.91,5.01
0.4,5358.753,54851524.915,7406.182,0.09,6.67,36.67,80.0,5.96,4.92,4.62,5.96,3.94,4.01
0.5,5260.583,43879589.142,6624.167,0.09,16.67,33.33,70.0,3.11,4.64,4.69,3.11,6.1,4.78
0.6,8597.55,227609949.71,15086.747,0.15,6.67,16.67,66.67,3.13,10.25,11.13,3.13,17.03,12.9
0.7,8189.518,199424531.053,14121.775,0.13,10.0,26.67,56.67,3.12,10.45,9.37,3.12,17.43,7.18
0.7999999999999999,7971.347,175447553.96,13245.662,0.13,6.67,13.33,56.67,3.74,6.08,9.12,3.74,8.31,15.24
0.8999999999999999,9757.977,333955839.898,18274.459,0.16,3.33,26.67,66.67,2.83,9.61,11.56,2.83,16.07,15.48
