validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,9845.382,335883040.703,18327.112,0.16,3.33,20.0,60.0,20.42,14.42,10.5,20.42,8.71,2.62
0.2,5537.101,43228100.19,6574.808,0.09,0.0,13.33,73.33,1.49,4.32,4.25,1.49,7.02,4.12
0.30000000000000004,5609.418,47280979.737,6876.117,0.09,6.67,26.67,73.33,0.77,3.91,3.63,0.77,6.9,3.08
0.4,5579.543,45295062.105,6730.161,0.09,3.33,33.33,60.0,0.26,4.0,4.33,0.26,8.05,5.0
0.5,6646.881,58454655.848,7645.564,0.11,3.33,10.0,53.33,3.91,7.1,6.03,3.91,10.14,3.87
0.6,6108.503,50618041.558,7114.636,0.1,6.67,16.67,60.0,3.63,6.26,5.86,3.63,8.77,5.06
0.7,6930.535,68389565.031,8269.798,0.11,13.33,20.0,50.0,4.16,7.36,7.23,4.16,10.4,6.98
0.7999999999999999,7238.449,190180177.622,13790.583,0.12,10.0,33.33,73.33,0.08,8.16,6.52,0.08,15.85,3.21
0.8999999999999999,9082.845,206117698.257,14356.8,0.15,3.33,16.67,46.67,14.66,12.25,10.18,14.66,9.94,6.02
