validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,16442.88,645215530.818,25401.093,0.17,0.0,16.67,83.33,6.61,6.54,2.16,6.61,6.47,8.03
0.2,16661.263,645055883.707,25397.95,0.17,0.0,16.67,83.33,6.58,6.59,2.35,6.58,6.59,7.5
0.30000000000000004,17161.933,663647409.574,25761.355,0.17,0.0,16.67,75.0,7.36,7.1,2.64,7.36,6.84,7.74
0.4,16751.268,647617721.041,25448.334,0.17,0.0,16.67,75.0,7.06,6.8,2.46,7.06,6.53,7.62
0.5,17371.838,675614145.616,25992.579,0.18,0.0,16.67,66.67,7.32,7.29,2.75,7.32,7.26,7.81
0.6,16714.615,656030293.018,25613.088,0.17,0.0,16.67,75.0,7.11,6.77,2.33,7.11,6.44,8.01
0.7,16621.465,656280253.345,25617.967,0.17,0.0,16.67,75.0,7.04,6.72,2.23,7.04,6.41,8.21
0.7999999999999999,16739.499,657853387.359,25648.653,0.17,0.0,16.67,83.33,6.74,6.71,2.31,6.74,6.67,7.91
0.8999999999999999,16359.326,638295292.835,25264.507,0.17,0.0,16.67,83.33,6.56,6.41,2.18,6.56,6.26,7.68
