validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,15871.864,613005695.955,24758.952,0.17,0.0,25.0,83.33,5.66,5.87,1.98,5.66,6.08,7.08
0.2,16150.955,628403934.101,25067.986,0.17,0.0,16.67,75.0,5.77,5.93,2.08,5.77,6.08,6.86
0.30000000000000004,16217.431,619831327.224,24896.412,0.17,0.0,8.33,75.0,5.91,6.04,2.23,5.91,6.16,6.62
0.4,16145.67,626736544.626,25034.707,0.17,0.0,16.67,75.0,5.81,5.88,2.1,5.81,5.94,6.68
0.5,16070.409,628592806.733,25071.753,0.17,0.0,16.67,83.33,5.88,5.91,1.99,5.88,5.95,7.12
0.6,15806.482,616205186.167,24823.481,0.16,0.0,25.0,83.33,5.65,5.74,1.89,5.65,5.83,7.06
0.7,15832.048,635486401.506,25208.856,0.17,0.0,16.67,83.33,5.58,5.69,1.72,5.58,5.81,7.54
0.7999999999999999,16198.309,604019917.616,24576.817,0.17,0.0,16.67,75.0,5.79,6.05,2.39,5.79,6.3,6.12
0.8999999999999999,16090.063,617340807.775,24846.344,0.17,0.0,25.0,75.0,5.71,5.92,2.15,5.71,6.13,6.61
