validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,16539.382,645152176.067,25399.846,0.17,0.0,16.67,83.33,6.54,6.72,2.22,6.54,6.9,8.24
0.2,16356.75,634228655.629,25183.897,0.17,0.0,16.67,83.33,6.39,6.52,2.15,6.39,6.65,8.01
0.30000000000000004,16883.495,643210351.779,25361.592,0.17,0.0,16.67,83.33,6.86,7.01,2.55,6.86,7.17,7.83
0.4,16301.3,630176522.459,25103.317,0.17,0.0,16.67,83.33,6.34,6.48,2.16,6.34,6.63,7.89
0.5,16790.003,649514258.142,25485.57,0.17,0.0,16.67,75.0,7.19,6.98,2.42,7.19,6.78,8.18
0.6,16625.245,641931106.031,25336.359,0.17,0.0,16.67,83.33,6.86,6.76,2.34,6.86,6.66,7.95
0.7,16124.594,629424097.326,25088.326,0.17,0.0,16.67,83.33,6.2,6.37,2.0,6.2,6.54,8.16
0.7999999999999999,16534.082,637492679.23,25248.617,0.17,0.0,16.67,83.33,6.67,6.77,2.29,6.67,6.88,8.15
0.8999999999999999,16453.826,631605611.286,25131.765,0.17,0.0,16.67,83.33,6.6,6.68,2.28,6.6,6.76,7.96
