validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,6455.342,53316434.532,7301.81,0.11,3.33,10.0,56.67,4.19,6.93,6.56,4.19,9.54,5.82
0.2,6811.636,61218562.349,7824.229,0.11,3.33,6.67,53.33,3.77,6.97,6.93,3.77,10.02,6.85
0.30000000000000004,6402.125,52520735.909,7247.119,0.1,3.33,13.33,63.33,3.74,6.69,6.22,3.74,9.5,5.27
0.4,6504.495,54625164.579,7390.884,0.11,0.0,10.0,60.0,3.6,6.17,6.35,3.6,8.61,6.73
0.5,6821.159,59825775.774,7734.712,0.11,6.67,10.0,46.67,4.9,7.91,7.24,4.9,10.77,5.89
0.6,6699.555,63408120.34,7962.922,0.11,0.0,16.67,53.33,2.9,5.99,6.43,2.9,8.92,7.33
0.7,6896.034,58225543.106,7630.566,0.11,0.0,6.67,50.0,6.08,7.64,7.25,6.08,9.12,6.46
0.7999999999999999,5197.725,38564111.517,6210.001,0.09,3.33,20.0,90.0,1.85,3.95,3.46,1.85,5.94,2.49
0.8999999999999999,6223.479,49073558.636,7005.252,0.1,3.33,10.0,63.33,3.88,6.05,5.68,3.88,8.11,4.94
