validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,1476.799,4670889.504,2161.224,0.08,6.67,44.44,86.67,2.49,0.32,1.61,2.49,2.99,4.11
0.2,1431.775,4449019.777,2109.27,0.08,8.89,53.33,86.67,2.48,0.19,1.36,2.48,2.73,3.61
0.30000000000000004,1559.357,4593820.386,2143.32,0.08,5.56,37.78,84.44,1.5,1.16,2.45,1.5,3.67,4.96
0.4,1450.919,4451017.834,2109.744,0.08,6.67,46.67,86.67,2.38,0.53,1.58,2.38,3.28,3.63
0.5,1539.096,4684227.574,2164.308,0.08,10.0,40.0,85.56,2.31,0.8,1.98,2.31,3.76,4.27
0.6,1448.449,4457325.092,2111.238,0.08,6.67,52.22,86.67,2.34,0.45,1.62,2.34,3.09,3.89
0.7,1506.355,4634230.173,2152.726,0.08,5.56,42.22,90.0,1.94,0.91,1.97,1.94,3.62,4.03
0.7999999999999999,1450.921,4646943.635,2155.677,0.08,14.44,48.89,88.89,2.16,0.47,1.57,2.16,2.97,3.69
0.8999999999999999,1635.26,4713987.031,2171.172,0.09,5.56,36.67,83.33,0.97,1.75,2.77,0.97,4.33,4.75
