validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,10159.138,333284112.6,18256.071,0.16,0.0,13.33,53.33,22.89,15.36,11.98,22.89,8.19,5.18
0.2,5607.366,44708106.929,6686.412,0.09,3.33,23.33,66.67,1.22,4.88,4.51,1.22,8.36,3.77
0.30000000000000004,6164.015,55308593.974,7436.975,0.1,0.0,23.33,66.67,2.06,6.01,5.15,2.06,9.77,3.42
0.4,5955.866,48412069.904,6957.878,0.1,6.67,20.0,63.33,3.83,6.24,6.03,3.83,8.53,5.61
0.5,6507.097,56176622.116,7495.107,0.11,3.33,20.0,46.67,7.22,7.72,7.34,7.22,8.2,6.58
0.6,6847.598,64707290.397,8044.084,0.11,6.67,23.33,46.67,6.34,7.66,7.18,6.34,8.92,6.2
0.7,6685.88,58304948.295,7635.768,0.11,3.33,13.33,53.33,5.73,7.71,7.09,5.73,9.58,5.84
0.7999999999999999,7492.284,195369116.205,13977.45,0.12,6.67,36.67,70.0,3.66,9.52,7.47,3.66,15.1,3.34
0.8999999999999999,7048.238,75171481.281,8670.149,0.12,10.0,23.33,56.67,4.1,5.72,5.21,4.1,7.26,4.2
