validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,11589.157,659629828.203,25683.26,0.14,41.67,75.0,91.67,2.29,2.52,2.11,2.29,2.75,12.88
0.2,11691.462,658135387.546,25654.15,0.15,25.0,83.33,91.67,2.54,2.56,2.06,2.54,2.59,12.82
0.30000000000000004,11861.105,666230220.81,25811.436,0.15,33.33,75.0,91.67,2.39,2.48,1.97,2.39,2.58,12.31
0.4,11503.037,666035796.241,25807.669,0.14,25.0,83.33,91.67,2.67,2.38,2.27,2.67,2.09,13.08
0.5,12089.117,669323323.743,25871.284,0.15,16.67,75.0,91.67,2.87,2.9,1.69,2.87,2.92,12.36
0.6,12058.422,659886505.891,25688.256,0.15,16.67,75.0,91.67,2.94,2.81,1.78,2.94,2.68,12.48
0.7,11975.821,668128578.845,25848.183,0.15,33.33,83.33,91.67,3.14,2.93,1.74,3.14,2.72,12.6
0.7999999999999999,12255.123,640790703.973,25313.844,0.15,25.0,75.0,91.67,2.73,2.93,1.28,2.73,3.14,11.08
0.8999999999999999,11843.824,666851554.396,25823.469,0.15,33.33,75.0,83.33,2.11,2.4,1.93,2.11,2.68,12.01
