validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,4943.905,37307081.254,6107.952,0.08,6.67,30.0,76.67,0.7,2.74,3.07,0.7,4.67,3.75
0.2,4323.634,34286036.537,5855.428,0.07,13.33,40.0,93.33,0.02,2.4,2.05,0.02,4.71,1.35
0.30000000000000004,7307.786,186473440.405,13655.528,0.12,6.67,23.33,73.33,10.96,8.54,7.15,10.96,6.23,4.35
0.4,4843.764,36037895.656,6003.157,0.08,3.33,16.67,86.67,1.2,3.15,2.88,1.2,5.01,2.35
0.5,5398.169,41568313.159,6447.349,0.09,3.33,26.67,73.33,1.84,4.4,4.41,1.84,6.83,4.45
0.6,4917.933,39532835.864,6287.514,0.08,3.33,26.67,90.0,1.83,3.31,3.15,1.83,4.72,2.82
0.7,5369.96,39932057.359,6319.182,0.09,3.33,23.33,70.0,3.27,4.57,4.53,3.27,5.81,4.45
0.7999999999999999,5557.401,46747796.28,6837.236,0.09,3.33,23.33,76.67,1.04,3.56,4.12,1.04,5.95,5.25
0.8999999999999999,5832.969,47422841.159,6886.424,0.1,0.0,23.33,70.0,3.58,5.32,5.31,3.58,6.98,5.29
