validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,15887.625,613294215.906,24764.778,0.17,0.0,25.0,83.33,5.69,5.89,1.99,5.69,6.08,7.08
0.2,16193.765,629318497.177,25086.221,0.17,0.0,16.67,75.0,5.84,5.97,2.11,5.84,6.09,6.85
0.30000000000000004,16218.077,619866057.858,24897.109,0.17,0.0,8.33,75.0,5.91,6.04,2.23,5.91,6.16,6.62
0.4,16148.314,630098008.678,25101.753,0.17,0.0,16.67,83.33,5.95,6.05,2.05,5.95,6.16,7.28
0.5,16043.521,628123583.55,25062.394,0.17,0.0,16.67,83.33,5.87,5.89,1.98,5.87,5.9,7.12
0.6,15809.429,616259233.987,24824.569,0.16,0.0,25.0,83.33,5.66,5.74,1.9,5.66,5.83,7.06
0.7,15854.922,636020639.748,25219.45,0.17,0.0,16.67,83.33,5.59,5.72,1.73,5.59,5.85,7.54
0.7999999999999999,16163.039,603311977.252,24562.41,0.17,0.0,16.67,75.0,5.76,6.03,2.36,5.76,6.3,6.17
0.8999999999999999,16090.657,617369554.935,24846.922,0.17,0.0,25.0,75.0,5.71,5.92,2.15,5.71,6.13,6.61
