validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,8106.64,190793313.907,13812.795,0.13,3.33,13.33,60.0,12.01,10.23,8.69,12.01,8.53,5.6
0.2,5304.617,39626229.103,6294.937,0.09,3.33,20.0,73.33,2.28,5.07,4.78,2.28,7.73,4.2
0.30000000000000004,6122.691,49773809.945,7055.056,0.1,6.67,13.33,63.33,3.77,5.9,6.33,3.77,7.93,7.21
0.4,5538.922,55751530.805,7466.695,0.09,6.67,33.33,73.33,5.35,7.55,5.66,5.35,9.64,1.87
0.5,7887.635,73425529.256,8568.87,0.13,6.67,6.67,33.33,5.78,10.06,9.32,5.78,14.13,7.84
0.6,7514.938,73677252.44,8583.545,0.12,3.33,16.67,40.0,7.04,9.73,9.03,7.04,12.28,7.62
0.7,5917.063,47210981.285,6871.025,0.1,3.33,23.33,63.33,2.71,5.26,5.57,2.71,7.68,6.2
0.7999999999999999,7203.164,62028623.825,7875.825,0.11,3.33,10.0,43.33,5.97,8.8,8.4,5.97,11.5,7.61
0.8999999999999999,6717.585,57529807.007,7584.841,0.11,0.0,10.0,53.33,4.38,7.07,6.98,4.38,9.64,6.78
