validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,4729.037,39812296.643,6309.699,0.08,6.67,40.0,83.33,0.38,2.26,2.48,0.38,4.78,2.91
0.2,7000.013,186618990.546,13660.856,0.11,6.67,43.33,70.0,0.3,7.72,6.45,0.3,15.36,3.88
0.30000000000000004,5773.504,48329843.553,6951.967,0.1,6.67,20.0,66.67,2.12,4.73,4.56,2.12,7.22,4.2
0.4,5424.516,44790253.71,6692.552,0.09,0.0,26.67,76.67,0.49,3.1,3.59,0.49,5.59,4.58
0.5,5193.897,39894917.954,6316.242,0.09,6.67,23.33,76.67,0.41,3.08,3.21,0.41,5.62,3.48
0.6,5646.856,47057921.117,6859.878,0.09,3.33,20.0,70.0,2.09,4.55,4.38,2.09,6.88,4.05
0.7,8929.264,230494931.767,15182.06,0.14,3.33,16.67,63.33,2.46,7.56,9.78,2.46,12.42,14.26
0.7999999999999999,8138.43,176490843.143,13284.986,0.13,0.0,13.33,63.33,3.17,5.9,8.82,3.17,8.51,14.68
0.8999999999999999,7244.944,189910346.518,13780.796,0.12,0.0,23.33,73.33,2.73,9.1,7.4,2.73,15.16,3.98
