validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,2359.321,12553550.873,3543.099,0.12,0.0,7.78,66.67,1.59,6.49,6.93,1.59,11.14,7.79
0.2,2019.922,5905707.946,2430.166,0.1,3.33,4.44,67.78,1.6,4.11,5.49,1.6,6.49,8.16
0.30000000000000004,2277.795,11060408.003,3325.719,0.12,1.11,7.78,66.67,1.66,5.85,6.72,1.66,9.82,8.4
0.4,1926.094,5586487.537,2363.575,0.1,2.22,15.56,75.56,1.26,3.73,4.9,1.26,6.08,7.17
0.5,2171.948,10989164.865,3314.991,0.11,1.11,8.89,73.33,5.16,5.58,6.11,5.16,5.98,7.13
0.6,1918.627,5550739.645,2356.001,0.1,2.22,12.22,75.56,1.56,3.96,5.14,1.56,6.24,7.41
0.7,1975.959,5750375.259,2397.994,0.1,2.22,8.89,71.11,1.47,4.12,5.41,1.47,6.64,7.91
0.7999999999999999,2357.159,9998307.666,3162.01,0.12,2.22,10.0,64.44,1.96,5.24,7.28,1.96,8.34,11.26
0.8999999999999999,2812.422,22201876.98,4711.887,0.14,1.11,3.33,60.0,8.89,9.62,9.3,8.89,10.31,8.68
