validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
0.1,5698.459,44062807.419,6637.982,0.09,0.0,23.33,66.67,2.51,5.44,5.05,2.51,8.22,4.28
0.2,5611.088,43948540.69,6629.37,0.09,3.33,23.33,73.33,2.4,5.05,4.99,2.4,7.56,4.88
0.30000000000000004,6780.12,60220547.863,7760.19,0.11,0.0,10.0,66.67,4.68,6.76,7.32,4.68,8.75,8.45
0.4,7164.921,62736621.798,7920.645,0.11,0.0,6.67,46.67,5.24,7.51,7.82,5.24,9.67,8.45
0.5,5225.196,37227936.74,6101.47,0.09,6.67,23.33,73.33,1.93,4.63,4.53,1.93,7.19,4.33
0.6,6617.806,58546896.404,7651.594,0.11,6.67,13.33,43.33,5.51,7.22,7.11,5.51,8.84,6.91
0.7,4921.305,35100559.697,5924.573,0.08,3.33,26.67,83.33,1.75,3.3,3.2,1.75,4.77,3.01
0.7999999999999999,9004.497,205162117.818,14323.481,0.14,3.33,13.33,40.0,8.02,13.43,11.52,8.02,18.57,7.68
0.8999999999999999,5255.794,43183791.737,6571.438,0.09,3.33,26.67,80.0,2.17,4.26,4.15,2.17,6.24,3.93
