validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
2,5174.088,49653509.852,7046.525,0.09,20.0,40.0,70.0,2.82,2.1,2.06,2.82,6.78,1.99
3,8656.64,87236394.728,9340.043,0.14,3.33,10.0,16.67,8.93,11.51,11.56,8.93,13.97,11.66
4,6614.6,57140895.096,7559.16,0.11,3.33,13.33,56.67,4.57,6.23,7.34,4.57,7.8,9.59
5,5755.142,46663805.62,6831.091,0.1,3.33,16.67,73.33,3.47,5.55,4.98,3.47,7.53,3.83
6,4900.377,41826669.99,6467.354,0.08,20.0,40.0,73.33,0.56,2.22,2.31,0.56,4.87,2.49
7,6191.911,51400846.951,7169.438,0.1,0.0,13.33,60.0,1.37,4.54,5.17,1.37,7.57,6.43
8,5130.386,39350383.537,6272.988,0.09,6.67,30.0,83.33,1.38,3.61,3.24,1.38,5.72,2.49
split,5202.669,44304970.027,6656.198,0.09,6.67,23.33,86.67,1.36,3.79,3.06,1.36,6.1,1.61
